experiment,algo,episode,distance
FOMAML,VPG,498,19.58
FOMAML,VPG,499,20.96
FOMAML,VPG,500,20.61
FOMAML,VPG,501,21.81
FOMAML,VPG,502,20.95
FOMAML,VPG,503,21.03
FOMAML,VPG,504,21.69
FOMAML,VPG,505,21.25
FOMAML,VPG,506,19.97
FOMAML,VPG,507,21.33
FOMAML,VPG,508,21.88
FOMAML,VPG,509,22.16
FOMAML,VPG,510,22.28
FOMAML,VPG,511,21.75
FOMAML,VPG,512,21.85
FOMAML,VPG,513,21.72
FOMAML,VPG,514,19.92
FOMAML,VPG,515,21.47
FOMAML,VPG,516,21.84
FOMAML,VPG,517,20.61
FOMAML,VPG,518,22.54
FOMAML,VPG,519,23.01
FOMAML,VPG,520,21.3
FOMAML,VPG,521,21.74
FOMAML,VPG,522,22.23
FOMAML,VPG,523,21.19
FOMAML,VPG,524,20.15
FOMAML,VPG,525,20.59
FOMAML,VPG,526,19.91
FOMAML,VPG,527,21.36
FOMAML,VPG,528,21.27
FOMAML,VPG,529,21.48
FOMAML,VPG,530,21.65
FOMAML,VPG,531,20.67
FOMAML,VPG,532,22.6
FOMAML,VPG,533,23.32
FOMAML,VPG,534,24.64
FOMAML,VPG,535,26.05
FOMAML,VPG,536,26.55
FOMAML,VPG,537,24.38
FOMAML,VPG,538,22.94
FOMAML,VPG,539,22.16
FOMAML,VPG,540,21.52
FOMAML,VPG,541,19.85
FOMAML,VPG,542,19.86
FOMAML,VPG,543,22.32
FOMAML,VPG,544,23.8
FOMAML,VPG,545,24.28
FOMAML,VPG,546,23.99
FOMAML,VPG,547,24.02
FOMAML,VPG,548,23.37
FOMAML,VPG,549,22.55
FOMAML,VPG,550,21.72
FOMAML,VPG,551,21.83
FOMAML,VPG,552,21.26
FOMAML,VPG,553,21.31
FOMAML,VPG,554,19.79
FOMAML,VPG,555,21.18
FOMAML,VPG,556,21.51
FOMAML,VPG,557,20.48
FOMAML,VPG,558,22.22
FOMAML,VPG,559,22.23
FOMAML,VPG,560,23.04
FOMAML,VPG,561,24.12
FOMAML,VPG,562,24.15
FOMAML,VPG,563,24.77
FOMAML,VPG,564,24.2
FOMAML,VPG,565,24.36
FOMAML,VPG,566,24.26
FOMAML,VPG,567,24.18
FOMAML,VPG,568,24.75
FOMAML,VPG,569,25.67
FOMAML,VPG,570,26.53
FOMAML,VPG,571,27.23
FOMAML,VPG,572,29.33
FOMAML,VPG,573,30.45
FOMAML,VPG,574,31.63
FOMAML,VPG,575,31.66
FOMAML,VPG,576,30.65
FOMAML,VPG,577,27.76
FOMAML,VPG,578,26.45
FOMAML,VPG,579,25.98
FOMAML,VPG,580,26.9
FOMAML,VPG,581,27.49
FOMAML,VPG,582,26.07
FOMAML,VPG,583,25.19
FOMAML,VPG,584,26.06
FOMAML,VPG,585,24.84
FOMAML,VPG,586,25.43
FOMAML,VPG,587,24.82
FOMAML,VPG,588,25.36
FOMAML,VPG,589,25.09
FOMAML,VPG,590,24.79
FOMAML,VPG,591,23.88
FOMAML,VPG,592,24.66
FOMAML,VPG,593,25.67
FOMAML,VPG,594,25.26
FOMAML,VPG,595,24.07
FOMAML,VPG,596,23.41
FOMAML,VPG,597,23.17
FOMAML,VPG,598,22.98
FOMAML,VPG,599,22.57
FOMAML,VPG,600,21.22
FOMAML,VPG,601,20.65
FOMAML,VPG,602,22.84
FOMAML,VPG,603,23.19
FOMAML,VPG,604,22.82
FOMAML,VPG,605,23.87
FOMAML,VPG,606,26.07
FOMAML,VPG,607,25.61
FOMAML,VPG,608,25.06
FOMAML,VPG,609,23.95
FOMAML,VPG,610,22.94
FOMAML,VPG,611,23.23
FOMAML,VPG,612,23.13
FOMAML,VPG,613,22.88
FOMAML,VPG,614,23.11
FOMAML,VPG,615,23.78
FOMAML,VPG,616,23.91
FOMAML,VPG,617,24.63
FOMAML,VPG,618,23.98
FOMAML,VPG,619,22.59
FOMAML,VPG,620,23.02
FOMAML,VPG,621,22.82
FOMAML,VPG,622,22.16
FOMAML,VPG,623,20.91
FOMAML,VPG,624,21.49
FOMAML,VPG,625,20.24
FOMAML,VPG,626,20.68
FOMAML,VPG,627,19.62
FOMAML,VPG,628,21.29
FOMAML,VPG,629,21.64
FOMAML,VPG,630,19.94
FOMAML,VPG,631,21.33
FOMAML,VPG,632,21.21
FOMAML,VPG,633,20.0
FOMAML,VPG,634,21.08
FOMAML,VPG,635,20.91
FOMAML,VPG,636,21.33
FOMAML,VPG,637,21.33
FOMAML,VPG,638,19.95
FOMAML,VPG,639,20.51
FOMAML,VPG,640,20.62
FOMAML,VPG,641,21.21
FOMAML,VPG,642,21.42
FOMAML,VPG,643,21.33
FOMAML,VPG,644,19.91
FOMAML,VPG,645,19.94
FOMAML,VPG,646,21.38
FOMAML,VPG,647,19.85
FOMAML,VPG,648,21.17
FOMAML,VPG,649,20.0
FOMAML,VPG,650,20.05
FOMAML,VPG,651,20.57
FOMAML,VPG,652,22.04
FOMAML,VPG,653,20.68
FOMAML,VPG,654,21.0
FOMAML,VPG,655,22.5
FOMAML,VPG,656,22.68
FOMAML,VPG,657,22.22
FOMAML,VPG,658,20.76
FOMAML,VPG,659,20.11
FOMAML,VPG,660,20.1
FOMAML,VPG,661,20.2
FOMAML,VPG,662,19.94
FOMAML,VPG,663,19.96
FOMAML,VPG,664,20.43
FOMAML,VPG,665,21.74
FOMAML,VPG,666,21.97
FOMAML,VPG,667,20.67
FOMAML,VPG,668,20.34
FOMAML,VPG,669,21.44
FOMAML,VPG,670,21.97
FOMAML,VPG,671,20.1
FOMAML,VPG,672,20.59
FOMAML,VPG,673,20.55
FOMAML,VPG,674,20.39
FOMAML,VPG,675,21.47
FOMAML,VPG,676,20.31
FOMAML,VPG,677,20.28
FOMAML,VPG,678,20.5
FOMAML,VPG,679,20.38
FOMAML,VPG,680,20.73
FOMAML,VPG,681,21.46
FOMAML,VPG,682,21.71
FOMAML,VPG,683,22.42
FOMAML,VPG,684,22.74
FOMAML,VPG,685,22.6
FOMAML,VPG,686,21.34
FOMAML,VPG,687,20.04
FOMAML,VPG,688,20.41
FOMAML,VPG,689,21.12
FOMAML,VPG,690,20.09
FOMAML,VPG,691,20.11
FOMAML,VPG,692,19.8
FOMAML,VPG,693,19.89
FOMAML,VPG,694,20.21
FOMAML,VPG,695,19.85
FOMAML,VPG,696,20.5
FOMAML,VPG,697,20.59
FOMAML,VPG,698,20.97
FOMAML,VPG,699,22.01
FOMAML,VPG,700,22.06
FOMAML,VPG,701,19.9
FOMAML,VPG,702,20.46
FOMAML,VPG,703,20.1
FOMAML,VPG,704,20.43
FOMAML,VPG,705,21.45
FOMAML,VPG,706,20.14
FOMAML,VPG,707,19.91
FOMAML,VPG,708,21.35
FOMAML,VPG,709,20.07
FOMAML,VPG,710,21.53
FOMAML,VPG,711,20.32
FOMAML,VPG,712,20.16
FOMAML,VPG,713,19.96
FOMAML,VPG,714,19.84
FOMAML,VPG,715,19.77
FOMAML,VPG,716,19.86
FOMAML,VPG,717,20.7
FOMAML,VPG,718,19.93
FOMAML,VPG,719,19.73
FOMAML,VPG,720,19.15
FOMAML,VPG,721,20.44
FOMAML,VPG,722,20.99
FOMAML,VPG,723,21.55
FOMAML,VPG,724,21.91
FOMAML,VPG,725,21.67
FOMAML,VPG,726,21.51
FOMAML,VPG,727,21.91
FOMAML,VPG,728,21.89
FOMAML,VPG,729,23.06
FOMAML,VPG,730,25.78
FOMAML,VPG,731,26.95
FOMAML,VPG,732,31.38
FOMAML,VPG,733,38.34
FOMAML,VPG,734,43.88
FOMAML,VPG,735,43.64
FOMAML,VPG,736,35.72
FOMAML,VPG,737,37.23
FOMAML,VPG,738,30.0
FOMAML,VPG,739,25.61
FOMAML,VPG,740,24.49
FOMAML,VPG,741,24.2
FOMAML,VPG,742,21.76
FOMAML,VPG,743,21.91
FOMAML,VPG,744,21.83
FOMAML,VPG,745,22.18
FOMAML,VPG,746,22.32
FOMAML,VPG,747,22.27
FOMAML,VPG,748,22.11
FOMAML,VPG,749,22.67
FOMAML,VPG,750,22.06
FOMAML,VPG,751,22.67
FOMAML,VPG,752,22.97
FOMAML,VPG,753,22.15
FOMAML,VPG,754,22.55
FOMAML,VPG,755,22.89
FOMAML,VPG,756,24.46
FOMAML,VPG,757,24.91
FOMAML,VPG,758,25.29
FOMAML,VPG,759,25.97
FOMAML,VPG,760,29.03
FOMAML,VPG,761,27.67
FOMAML,VPG,762,26.44
FOMAML,VPG,763,26.9
FOMAML,VPG,764,25.0
FOMAML,VPG,765,25.56
FOMAML,VPG,766,24.65
FOMAML,VPG,767,24.06
FOMAML,VPG,768,23.6
FOMAML,VPG,769,21.57
FOMAML,VPG,770,21.71
FOMAML,VPG,771,21.45
FOMAML,VPG,772,19.68
FOMAML,VPG,773,19.4
FOMAML,VPG,774,21.23
FOMAML,VPG,775,19.53
FOMAML,VPG,776,19.51
FOMAML,VPG,777,19.21
FOMAML,VPG,778,20.6
FOMAML,VPG,779,19.53
FOMAML,VPG,780,20.6
FOMAML,VPG,781,19.27
FOMAML,VPG,782,19.43
FOMAML,VPG,783,20.54
FOMAML,VPG,784,18.98
FOMAML,VPG,785,19.7
FOMAML,VPG,786,19.07
FOMAML,VPG,787,19.69
FOMAML,VPG,788,18.79
FOMAML,VPG,789,19.63
FOMAML,VPG,790,18.97
FOMAML,VPG,791,18.92
FOMAML,VPG,792,19.22
FOMAML,VPG,793,19.43
FOMAML,VPG,794,20.26
FOMAML,VPG,795,21.02
FOMAML,VPG,796,21.72
FOMAML,VPG,797,22.03
FOMAML,VPG,798,21.08
FOMAML,VPG,799,21.67
FOMAML,VPG,800,21.13
FOMAML,VPG,801,20.99
FOMAML,VPG,802,19.23
FOMAML,VPG,803,19.2
FOMAML,VPG,804,18.03
FOMAML,VPG,805,19.2
FOMAML,VPG,806,19.72
FOMAML,VPG,807,19.37
FOMAML,VPG,808,19.53
FOMAML,VPG,809,21.01
FOMAML,VPG,810,19.02
FOMAML,VPG,811,19.47
FOMAML,VPG,812,19.05
FOMAML,VPG,813,19.21
FOMAML,VPG,814,19.76
FOMAML,VPG,815,21.03
FOMAML,VPG,816,19.05
FOMAML,VPG,817,19.28
FOMAML,VPG,818,17.8
FOMAML,VPG,819,19.3
FOMAML,VPG,820,19.11
FOMAML,VPG,821,17.75
FOMAML,VPG,822,19.23
FOMAML,VPG,823,19.26
FOMAML,VPG,824,20.79
FOMAML,VPG,825,19.27
FOMAML,VPG,826,19.28
FOMAML,VPG,827,19.42
FOMAML,VPG,828,20.81
FOMAML,VPG,829,20.98
FOMAML,VPG,830,19.22
FOMAML,VPG,831,19.01
FOMAML,VPG,832,19.26
FOMAML,VPG,833,19.38
FOMAML,VPG,834,19.12
FOMAML,VPG,835,19.49
FOMAML,VPG,836,19.59
FOMAML,VPG,837,20.9
FOMAML,VPG,838,21.24
FOMAML,VPG,839,22.38
FOMAML,VPG,840,22.29
FOMAML,VPG,841,21.81
FOMAML,VPG,842,22.18
FOMAML,VPG,843,21.61
FOMAML,VPG,844,19.43
FOMAML,VPG,845,19.32
FOMAML,VPG,846,19.24
FOMAML,VPG,847,20.64
FOMAML,VPG,848,19.69
FOMAML,VPG,849,18.98
FOMAML,VPG,850,19.76
FOMAML,VPG,851,21.0
FOMAML,VPG,852,20.19
FOMAML,VPG,853,21.72
FOMAML,VPG,854,22.0
FOMAML,VPG,855,22.89
FOMAML,VPG,856,23.33
FOMAML,VPG,857,23.14
FOMAML,VPG,858,22.76
FOMAML,VPG,859,23.14
FOMAML,VPG,860,22.12
FOMAML,VPG,861,22.51
FOMAML,VPG,862,22.97
FOMAML,VPG,863,22.22
FOMAML,VPG,864,21.7
FOMAML,VPG,865,21.51
FOMAML,VPG,866,22.18
FOMAML,VPG,867,21.99
FOMAML,VPG,868,22.03
FOMAML,VPG,869,22.09
