experiment,algo,episode,distance
original,VPG,754,29.97
original,VPG,755,32.33
original,VPG,756,30.43
original,VPG,757,29.49
original,VPG,758,29.53
original,VPG,759,21.3
original,VPG,760,25.84
original,VPG,761,30.11
original,VPG,762,21.3
original,VPG,763,25.53
original,VPG,764,25.27
original,VPG,765,15.63
original,VPG,766,26.43
original,VPG,767,30.81
original,VPG,768,23.76
original,VPG,769,26.97
original,VPG,770,28.31
original,VPG,771,31.32
original,VPG,772,29.94
original,VPG,773,25.99
original,VPG,774,30.25
original,VPG,775,29.83
original,VPG,776,24.06
original,VPG,777,29.01
original,VPG,778,29.61
original,VPG,779,29.3
original,VPG,780,29.75
original,VPG,781,22.4
original,VPG,782,22.85
original,VPG,783,21.96
original,VPG,784,27.93
original,VPG,785,19.7
original,VPG,786,21.21
original,VPG,787,20.88
original,VPG,788,32.99
original,VPG,789,17.54
original,VPG,790,34.3
original,VPG,791,30.47
original,VPG,792,28.02
original,VPG,793,34.38
original,VPG,794,33.86
original,VPG,795,28.28
original,VPG,796,29.77
original,VPG,797,24.44
original,VPG,798,17.07
original,VPG,799,31.22
original,VPG,800,34.68
original,VPG,801,30.68
original,VPG,802,30.57
original,VPG,803,28.14
original,VPG,804,17.98
original,VPG,805,29.42
original,VPG,806,19.75
original,VPG,807,30.78
original,VPG,808,17.87
original,VPG,809,30.9
original,VPG,810,19.35
original,VPG,811,32.23
original,VPG,812,22.81
original,VPG,813,23.72
original,VPG,814,29.72
original,VPG,815,27.86
original,VPG,816,28.26
original,VPG,817,17.04
original,VPG,818,21.18
original,VPG,819,28.85
original,VPG,820,20.57
original,VPG,821,26.18
original,VPG,822,29.42
original,VPG,823,22.05
original,VPG,824,23.74
original,VPG,825,19.84
original,VPG,826,19.37
original,VPG,827,21.56
original,VPG,828,20.99
original,VPG,829,23.81
original,VPG,830,19.67
original,VPG,831,26.26
original,VPG,832,25.92
original,VPG,833,21.82
original,VPG,834,30.0
original,VPG,835,27.58
original,VPG,836,28.06
original,VPG,837,26.02
original,VPG,838,21.39
original,VPG,839,25.44
original,VPG,840,28.81
original,VPG,841,31.18
original,VPG,842,32.82
original,VPG,843,33.68
original,VPG,844,32.35
original,VPG,845,35.34
original,VPG,846,36.8
original,VPG,847,45.37
original,VPG,848,41.34
original,VPG,849,38.35
original,VPG,850,40.87
original,VPG,851,48.86
original,VPG,852,42.33
original,VPG,853,41.8
original,VPG,854,52.72
original,VPG,855,49.2
original,VPG,856,39.51
original,VPG,857,39.3
original,VPG,858,32.94
original,VPG,859,35.11
original,VPG,860,28.31
original,VPG,861,39.77
original,VPG,862,28.72
original,VPG,863,30.41
original,VPG,864,24.61
original,VPG,865,31.67
original,VPG,866,25.87
original,VPG,867,22.79
original,VPG,868,26.87
original,VPG,869,23.25
original,VPG,870,21.66
original,VPG,871,20.53
original,VPG,872,31.05
original,VPG,873,24.88
original,VPG,874,26.53
original,VPG,875,17.93
original,VPG,876,28.01
original,VPG,877,22.44
original,VPG,878,20.4
original,VPG,879,21.3
original,VPG,880,23.76
original,VPG,881,21.09
original,VPG,882,26.52
original,VPG,883,23.98
original,VPG,884,19.19
original,VPG,885,19.41
original,VPG,886,24.89
original,VPG,887,21.84
original,VPG,888,25.53
original,VPG,889,30.89
original,VPG,890,23.83
original,VPG,891,32.8
original,VPG,892,31.04
original,VPG,893,18.71
original,VPG,894,25.51
original,VPG,895,19.59
original,VPG,896,26.3
original,VPG,897,19.9
original,VPG,898,22.31
original,VPG,899,31.06
original,VPG,900,32.73
original,VPG,901,29.23
original,VPG,902,18.56
original,VPG,903,21.17
original,VPG,904,21.53
original,VPG,905,19.46
original,VPG,906,30.3
original,VPG,907,30.44
original,VPG,908,29.22
original,VPG,909,17.11
original,VPG,910,36.24
original,VPG,911,20.14
original,VPG,912,33.11
original,VPG,913,32.84
original,VPG,914,20.79
original,VPG,915,20.12
original,VPG,916,20.02
original,VPG,917,24.87
original,VPG,918,37.32
original,VPG,919,23.84
original,VPG,920,22.76
original,VPG,921,37.17
original,VPG,922,21.37
original,VPG,923,29.51
original,VPG,924,16.78
original,VPG,925,33.78
original,VPG,926,22.74
original,VPG,927,31.75
original,VPG,928,19.79
original,VPG,929,31.21
original,VPG,930,33.9
original,VPG,931,33.51
original,VPG,932,24.15
original,VPG,933,23.62
original,VPG,934,34.1
original,VPG,935,22.45
original,VPG,936,25.52
original,VPG,937,25.36
original,VPG,938,37.39
original,VPG,939,36.92
original,VPG,940,41.67
original,VPG,941,40.58
original,VPG,942,37.04
original,VPG,943,26.46
original,VPG,944,41.88
original,VPG,945,25.3
original,VPG,946,37.57
original,VPG,947,39.11
original,VPG,948,25.42
original,VPG,949,41.55
original,VPG,950,40.55
original,VPG,951,24.15
original,VPG,952,32.9
original,VPG,953,35.04
original,VPG,954,23.11
original,VPG,955,34.88
original,VPG,956,25.61
original,VPG,957,46.32
original,VPG,958,23.77
original,VPG,959,37.09
original,VPG,960,23.88
original,VPG,961,40.2
original,VPG,962,40.51
original,VPG,963,40.62
original,VPG,964,39.89
original,VPG,965,40.76
original,VPG,966,36.97
original,VPG,967,42.69
original,VPG,968,38.03
original,VPG,969,44.86
original,VPG,970,39.66
original,VPG,971,43.8
original,VPG,972,43.71
original,VPG,973,40.37
original,VPG,974,26.58
original,VPG,975,42.85
original,VPG,976,24.66
original,VPG,977,43.55
original,VPG,978,42.41
original,VPG,979,25.44
original,VPG,980,43.4
original,VPG,981,23.89
original,VPG,982,42.93
original,VPG,983,42.03
original,VPG,984,26.4
original,VPG,985,26.68
original,VPG,986,37.94
original,VPG,987,24.08
original,VPG,988,43.54
original,VPG,989,38.74
original,VPG,990,26.17
original,VPG,991,41.09
original,VPG,992,38.23
original,VPG,993,25.29
original,VPG,994,42.99
original,VPG,995,26.1
original,VPG,996,27.08
original,VPG,997,41.53
original,VPG,998,41.15
original,VPG,999,41.05
original,VPG,1000,43.05
original,VPG,1001,40.34
original,VPG,1002,48.15
original,VPG,1003,42.91
original,VPG,1004,28.72
original,VPG,1005,42.8
original,VPG,1006,44.24
original,VPG,1007,41.11
original,VPG,1008,41.14
original,VPG,1009,41.46
original,VPG,1010,44.29
original,VPG,1011,45.51
original,VPG,1012,44.8
original,VPG,1013,30.19
original,VPG,1014,40.7
original,VPG,1015,43.11
original,VPG,1016,45.03
original,VPG,1017,39.56
original,VPG,1018,30.21
original,VPG,1019,25.29
original,VPG,1020,42.49
original,VPG,1021,40.5
original,VPG,1022,24.79
original,VPG,1023,44.63
original,VPG,1024,25.1
original,VPG,1025,26.58
original,VPG,1026,26.47
original,VPG,1027,43.23
original,VPG,1028,41.86
original,VPG,1029,40.17
original,VPG,1030,28.16
original,VPG,1031,43.41
original,VPG,1032,26.41
original,VPG,1033,27.09
original,VPG,1034,28.52
original,VPG,1035,38.23
original,VPG,1036,39.32
original,VPG,1037,26.22
original,VPG,1038,40.01
original,VPG,1039,39.74
original,VPG,1040,24.29
original,VPG,1041,38.4
original,VPG,1042,25.9
original,VPG,1043,43.01
original,VPG,1044,39.7
original,VPG,1045,39.9
original,VPG,1046,27.09
original,VPG,1047,36.63
original,VPG,1048,40.73
original,VPG,1049,38.62
original,VPG,1050,24.68
original,VPG,1051,42.51
original,VPG,1052,26.23
original,VPG,1053,25.4
original,VPG,1054,25.91
original,VPG,1055,28.82
original,VPG,1056,39.35
original,VPG,1057,42.18
original,VPG,1058,28.12
original,VPG,1059,42.05
original,VPG,1060,25.88
original,VPG,1061,44.38
original,VPG,1062,44.26
original,VPG,1063,41.65
original,VPG,1064,27.7
original,VPG,1065,25.81
original,VPG,1066,44.06
original,VPG,1067,24.65
original,VPG,1068,42.39
original,VPG,1069,25.18
original,VPG,1070,26.32
original,VPG,1071,24.12
original,VPG,1072,40.17
original,VPG,1073,25.76
original,VPG,1074,38.83
original,VPG,1075,25.62
original,VPG,1076,44.77
original,VPG,1077,41.03
original,VPG,1078,40.96
original,VPG,1079,27.16
original,VPG,1080,39.23
original,VPG,1081,43.01
original,VPG,1082,25.49
original,VPG,1083,41.02
original,VPG,1084,25.9
original,VPG,1085,29.84
original,VPG,1086,42.87
original,VPG,1087,27.87
original,VPG,1088,39.24
original,VPG,1089,25.83
original,VPG,1090,40.97
original,VPG,1091,42.44
original,VPG,1092,38.62
original,VPG,1093,44.08
original,VPG,1094,29.67
original,VPG,1095,27.61
original,VPG,1096,42.31
original,VPG,1097,29.46
original,VPG,1098,24.66
original,VPG,1099,26.51
original,VPG,1100,43.41
original,VPG,1101,24.93
original,VPG,1102,43.49
original,VPG,1103,28.83
original,VPG,1104,44.29
original,VPG,1105,44.52
original,VPG,1106,43.2
original,VPG,1107,29.25
original,VPG,1108,45.72
original,VPG,1109,42.58
original,VPG,1110,42.98
original,VPG,1111,24.26
original,VPG,1112,40.53
original,VPG,1113,27.16
original,VPG,1114,44.55
original,VPG,1115,40.01
original,VPG,1116,42.46
original,VPG,1117,30.84
original,VPG,1118,39.2
original,VPG,1119,25.27
original,VPG,1120,28.29
original,VPG,1121,24.06
original,VPG,1122,24.89
original,VPG,1123,23.94
original,VPG,1124,24.44
original,VPG,1125,35.01
original,VPG,1126,25.37
original,VPG,1127,39.91
original,VPG,1128,33.48
original,VPG,1129,41.88
original,VPG,1130,21.57
original,VPG,1131,42.57
original,VPG,1132,34.9
original,VPG,1133,38.84
original,VPG,1134,40.65
original,VPG,1135,26.23
original,VPG,1136,38.38
original,VPG,1137,31.1
original,VPG,1138,39.38
original,VPG,1139,24.17
original,VPG,1140,25.54
original,VPG,1141,42.92
original,VPG,1142,26.41
original,VPG,1143,39.41
original,VPG,1144,23.41
original,VPG,1145,40.31
original,VPG,1146,40.63
original,VPG,1147,39.22
